"Date","Price","Open","High","Low","Vol.","Change %"
"08/23/2022","0.04664","0.04571","0.04765","0.04481","11.59M","2.04%"
"08/22/2022","0.04571","0.04633","0.04646","0.04368","5.21M","-1.37%"
"08/21/2022","0.04635","0.04519","0.04684","0.04449","4.07M","2.57%"
"08/20/2022","0.04519","0.04522","0.04679","0.04391","8.44M","-0.08%"
"08/19/2022","0.04522","0.04865","0.04868","0.04347","20.81M","-7.05%"
"08/18/2022","0.04865","0.05044","0.05108","0.04767","8.28M","-3.54%"
"08/17/2022","0.05044","0.05206","0.05358","0.04981","10.59M","-3.03%"
"08/16/2022","0.05201","0.05303","0.05338","0.05093","8.48M","-1.93%"
"08/15/2022","0.05303","0.05381","0.05518","0.05177","10.87M","-1.44%"
"08/14/2022","0.05381","0.05439","0.05559","0.05335","8.72M","-1.07%"
"08/13/2022","0.05439","0.05577","0.05577","0.05426","13.30M","-2.46%"
"08/12/2022","0.05576","0.05307","0.05733","0.05231","30.15M","4.95%"
"08/11/2022","0.05313","0.05210","0.06154","0.05194","19.62M","1.98%"
"08/10/2022","0.05210","0.04929","0.05210","0.04800","11.05M","5.69%"
"08/09/2022","0.04929","0.05246","0.05265","0.04850","7.50M","-6.10%"
"08/08/2022","0.05249","0.05156","0.05316","0.05117","5.47M","1.80%"
"08/07/2022","0.05156","0.05183","0.05227","0.05071","7.05M","-0.55%"
"08/06/2022","0.05185","0.05290","0.05725","0.05166","18.74M","-2.00%"
"08/05/2022","0.05291","0.05029","0.05297","0.05004","9.90M","5.21%"
"08/04/2022","0.05029","0.04928","0.05079","0.04906","7.52M","1.97%"
"08/03/2022","0.04931","0.04876","0.05082","0.04733","9.23M","1.17%"
"08/02/2022","0.04874","0.05151","0.05233","0.04795","11.41M","-5.38%"
"08/01/2022","0.05151","0.04942","0.05169","0.04931","13.11M","4.24%"
"07/31/2022","0.04942","0.04923","0.05422","0.04883","22.76M","0.45%"
"07/30/2022","0.04920","0.04964","0.05215","0.04887","16.20M","-0.90%"
"07/29/2022","0.04964","0.04933","0.05175","0.04797","19.68M","0.64%"
"07/28/2022","0.04933","0.04826","0.05056","0.04735","28.43M","2.22%"
"07/27/2022","0.04826","0.04457","0.04845","0.04360","30.01M","8.28%"
"07/26/2022","0.04456","0.04465","0.04491","0.04257","15.84M","-0.20%"
"07/25/2022","0.04465","0.04869","0.04893","0.04462","21.58M","-8.28%"
"07/24/2022","0.04869","0.05028","0.05069","0.04821","18.42M","-3.32%"
"07/23/2022","0.05036","0.04747","0.05370","0.04724","69.57M","6.08%"
"07/22/2022","0.04747","0.04898","0.05052","0.04631","20.44M","-3.09%"
"07/21/2022","0.04898","0.04800","0.05103","0.04595","29.42M","2.06%"
"07/20/2022","0.04800","0.05209","0.05475","0.04768","69.45M","-8.08%"
"07/19/2022","0.05221","0.04496","0.06086","0.04393","120.49M","16.12%"
"07/18/2022","0.04496","0.04062","0.04546","0.04056","21.88M","10.69%"
"07/17/2022","0.04062","0.04179","0.04234","0.04034","7.29M","-2.80%"
"07/16/2022","0.04179","0.04046","0.04243","0.04046","12.22M","3.29%"
"07/15/2022","0.04046","0.03989","0.04287","0.03943","26.04M","1.43%"
"07/14/2022","0.03989","0.03882","0.03997","0.03734","14.95M","2.77%"
"07/13/2022","0.03882","0.03773","0.03911","0.03612","23.83M","2.96%"
"07/12/2022","0.03770","0.03790","0.03897","0.03763","11.25M","-0.26%"
"07/11/2022","0.03780","0.04051","0.04115","0.03759","7.93M","-6.73%"
"07/10/2022","0.04052","0.04208","0.04229","0.04013","9.10M","-3.70%"
"07/09/2022","0.04208","0.04143","0.04296","0.04140","9.99M","1.56%"
"07/08/2022","0.04143","0.04171","0.04329","0.04081","18.70M","-0.63%"
"07/07/2022","0.04169","0.04061","0.04185","0.03986","11.93M","2.76%"
"07/06/2022","0.04057","0.04031","0.04117","0.03952","16.54M","0.66%"
"07/05/2022","0.04031","0.04199","0.04226","0.03885","21.99M","-4.00%"
"07/04/2022","0.04199","0.04299","0.04299","0.04036","41.31M","-2.33%"
"07/03/2022","0.04299","0.04764","0.04764","0.04250","113.39M","-9.15%"
"07/02/2022","0.04732","0.03827","0.05433","0.03757","116.64M","23.65%"
"07/01/2022","0.03827","0.03858","0.03950","0.03714","15.48M","-0.80%"
"06/30/2022","0.03858","0.03937","0.03937","0.03598","21.66M","-2.01%"
"06/29/2022","0.03937","0.04026","0.04079","0.03889","15.49M","-2.21%"
"06/28/2022","0.04026","0.04223","0.04332","0.04000","13.30M","-4.68%"
"06/27/2022","0.04224","0.04108","0.04303","0.04093","12.64M","2.81%"
"06/26/2022","0.04108","0.04323","0.04493","0.04096","14.63M","-4.97%"
"06/25/2022","0.04323","0.04302","0.04566","0.04108","16.89M","0.48%"
"06/24/2022","0.04302","0.04199","0.04381","0.04092","15.35M","2.37%"
"06/23/2022","0.04203","0.04048","0.04222","0.04013","10.38M","3.88%"
"06/22/2022","0.04046","0.04172","0.04184","0.03972","12.55M","-3.02%"
"06/21/2022","0.04172","0.04130","0.04372","0.04034","20.31M","1.01%"
"06/20/2022","0.04130","0.04006","0.04366","0.03812","33.71M","3.08%"
"06/19/2022","0.04006","0.03773","0.04057","0.03622","14.31M","6.19%"
