"Date","Price","Open","High","Low","Vol.","Change %"
"10/04/2022","8.9090","8.7200","8.9970","8.6700","157.31K","2.17%"
"10/03/2022","8.7200","8.5050","8.7770","8.4140","139.87K","2.53%"
"10/02/2022","8.5050","8.7750","8.8310","8.4790","131.43K","-3.08%"
"10/01/2022","8.7750","8.8480","8.9270","8.7110","85.85K","-0.83%"
"09/30/2022","8.8480","8.7750","8.9880","8.6860","226.79K","0.83%"
"09/29/2022","8.7750","8.6200","8.8000","8.4360","201.92K","1.80%"
"09/28/2022","8.6200","8.8720","8.8940","8.3220","313.04K","-2.84%"
"09/27/2022","8.8720","8.3990","9.6380","8.3870","747.96K","5.64%"
"09/26/2022","8.3980","8.2710","8.4080","8.0650","197.08K","1.55%"
"09/25/2022","8.2700","8.4080","8.5570","8.1770","112.45K","-1.64%"
"09/24/2022","8.4080","8.5600","8.6800","8.3670","147.22K","-1.83%"
"09/23/2022","8.5650","8.4440","8.6550","8.1750","269.09K","1.44%"
"09/22/2022","8.4430","8.0440","8.5060","8.0320","198.35K","4.96%"
"09/21/2022","8.0440","8.3340","8.7120","7.9600","317.56K","-3.48%"
"09/20/2022","8.3340","8.3770","8.4890","8.1930","227.50K","-0.49%"
"09/19/2022","8.3750","8.2440","8.4430","8.0280","267.17K","1.68%"
"09/18/2022","8.2370","9.0840","9.1160","8.1250","232.51K","-9.33%"
"09/17/2022","9.0850","8.9960","9.1200","8.8550","146.26K","0.99%"
"09/16/2022","8.9960","9.1300","9.2550","8.7380","329.10K","-1.47%"
"09/15/2022","9.1300","9.0890","9.3200","8.7330","418.35K","0.34%"
"09/14/2022","9.0990","8.8970","9.1450","8.8370","177.58K","2.24%"
"09/13/2022","8.9000","9.9050","9.9400","8.8770","370.52K","-10.15%"
"09/12/2022","9.9050","9.8130","10.2550","9.6320","346.76K","0.94%"
"09/11/2022","9.8130","9.8910","10.0200","9.6090","160.44K","-0.79%"
"09/10/2022","9.8910","9.8770","10.1180","9.7150","255.07K","0.14%"
"09/09/2022","9.8770","9.4470","9.9390","9.3480","319.35K","4.55%"
"09/08/2022","9.4470","8.8840","9.5850","8.7080","356.15K","6.34%"
"09/07/2022","8.8840","8.5420","8.9550","8.3330","269.06K","4.00%"
"09/06/2022","8.5420","9.3610","9.5550","8.5190","321.91K","-8.68%"
"09/05/2022","9.3540","9.5070","9.5970","9.0670","150.40K","-1.61%"
"09/04/2022","9.5070","9.1550","9.5570","9.0670","155.10K","3.87%"
"09/03/2022","9.1530","9.0280","9.1700","8.9660","107.85K","1.35%"
"09/02/2022","9.0310","9.1560","9.3440","8.9400","199.71K","-1.33%"
"09/01/2022","9.1530","9.0240","9.1840","8.7590","255.00K","1.43%"
"08/31/2022","9.0240","9.0710","9.3560","8.9760","168.68K","-0.39%"
"08/30/2022","9.0590","9.3890","9.5770","8.9260","218.62K","-3.51%"
"08/29/2022","9.3890","8.8790","9.4250","8.7810","143.19K","5.74%"
"08/28/2022","8.8790","9.1260","9.3070","8.8340","116.16K","-2.65%"
"08/27/2022","9.1210","9.0190","9.2330","8.8690","185.44K","1.13%"
"08/26/2022","9.0190","10.0060","10.0230","8.9190","266.56K","-9.86%"
"08/25/2022","10.0060","9.9280","10.2590","9.8580","163.62K","0.86%"
"08/24/2022","9.9210","9.9460","10.3120","9.6510","249.78K","-0.25%"
"08/23/2022","9.9460","9.6830","10.0220","9.3800","156.23K","2.69%"
"08/22/2022","9.6850","9.8680","9.8750","9.1910","162.61K","-1.85%"
"08/21/2022","9.8680","9.5560","9.9990","9.4950","81.21K","3.26%"
"08/20/2022","9.5560","9.5180","9.8530","9.2940","197.18K","0.21%"
"08/19/2022","9.5360","10.4400","10.4410","9.3800","318.39K","-8.66%"
"08/18/2022","10.4400","10.9610","11.0680","10.2360","173.19K","-4.75%"
"08/17/2022","10.9610","11.1540","11.8770","10.8310","238.88K","-1.73%"
"08/16/2022","11.1540","11.2770","11.3610","11.0440","128.14K","-0.93%"
"08/15/2022","11.2590","11.5190","11.8050","11.0350","198.88K","-2.18%"
"08/14/2022","11.5100","11.9960","12.2200","11.4020","148.17K","-4.02%"
"08/13/2022","11.9920","12.0240","12.2190","11.8690","98.40K","-0.24%"
"08/12/2022","12.0210","11.7200","12.0660","11.5460","108.20K","2.61%"
"08/11/2022","11.7150","11.6860","12.5280","11.6540","235.45K","0.25%"
"08/10/2022","11.6860","11.0050","11.6960","10.7370","172.98K","6.19%"
"08/09/2022","11.0050","11.6590","11.7500","10.8780","168.55K","-5.61%"
"08/08/2022","11.6590","11.4650","11.9870","11.3600","157.35K","1.69%"
"08/07/2022","11.4650","11.4260","11.6170","11.2030","83.30K","0.34%"
"08/06/2022","11.4260","11.8030","11.8160","11.3650","112.36K","-3.19%"
"08/05/2022","11.8030","10.8160","11.9320","10.7760","305.23K","9.12%"
"08/04/2022","10.8170","10.7470","11.1410","10.5780","142.77K","0.65%"
"08/03/2022","10.7470","10.9560","11.1860","10.6030","151.04K","-2.05%"
"08/02/2022","10.9720","11.1620","11.3180","10.5090","220.54K","-1.89%"
"08/01/2022","11.1830","10.9660","11.6150","10.9140","251.37K","1.84%"
"07/31/2022","10.9810","11.3610","11.5950","10.8870","180.54K","-3.21%"
"07/30/2022","11.3450","11.2970","11.9630","11.0550","338.01K","0.47%"
"07/29/2022","11.2920","11.0130","12.0510","11.0000","426.56K","2.51%"
"07/28/2022","11.0160","10.0610","11.2590","10.0540","425.20K","9.54%"
"07/27/2022","10.0570","9.2850","10.0610","9.0920","236.60K","8.35%"
"07/26/2022","9.2820","9.2270","9.3010","8.8190","205.87K","0.75%"
"07/25/2022","9.2130","10.2550","10.4170","9.2050","252.86K","-10.16%"
"07/24/2022","10.2550","10.0500","10.6130","9.9000","237.91K","2.03%"
"07/23/2022","10.0510","10.5370","11.0080","9.7270","343.92K","-4.34%"
"07/22/2022","10.5070","9.8930","11.3630","9.7860","483.43K","6.44%"
"07/21/2022","9.8710","9.7480","9.9240","9.3060","177.14K","1.25%"
"07/20/2022","9.7490","10.5030","10.7150","9.6590","233.23K","-7.15%"
"07/19/2022","10.5000","10.3860","10.6710","9.9620","236.12K","0.96%"
"07/18/2022","10.4000","9.3200","10.5100","9.2830","255.69K","11.66%"
"07/17/2022","9.3140","9.2610","9.6270","9.1190","159.72K","0.53%"
"07/16/2022","9.2650","8.8470","9.3290","8.6520","175.11K","4.72%"
"07/15/2022","8.8470","8.7000","9.0640","8.6830","157.98K","1.65%"
"07/14/2022","8.7030","8.5640","8.8480","8.1500","197.74K","1.62%"
"07/13/2022","8.5640","8.0690","8.5770","7.8090","215.69K","6.13%"
"07/12/2022","8.0690","8.3490","8.4160","8.0410","126.17K","-3.53%"
"07/11/2022","8.3640","9.2410","9.2540","8.2930","126.62K","-9.49%"
"07/10/2022","9.2410","9.3600","9.3630","8.9020","115.21K","-1.27%"
"07/09/2022","9.3600","9.1330","9.5790","9.1240","132.44K","2.49%"
"07/08/2022","9.1330","9.2720","9.5710","9.0100","151.01K","-1.50%"
"07/07/2022","9.2720","8.5190","9.3820","8.4660","148.31K","8.84%"
"07/06/2022","8.5190","8.3730","8.5860","8.2060","92.86K","1.68%"
"07/05/2022","8.3780","8.5980","8.6510","8.0860","132.50K","-2.56%"
"07/04/2022","8.5980","8.2980","8.6310","8.0440","91.63K","3.64%"
"07/03/2022","8.2960","8.2570","8.3890","8.0400","92.76K","0.48%"
"07/02/2022","8.2560","8.2290","8.3620","8.0320","103.06K","0.33%"
"07/01/2022","8.2290","8.4720","8.7350","8.0870","149.71K","-2.90%"
"06/30/2022","8.4750","8.6380","8.6650","7.9590","136.68K","-1.75%"
"06/29/2022","8.6260","8.9320","9.0470","8.4730","165.68K","-3.43%"
"06/28/2022","8.9320","9.5140","9.6560","8.8730","70.35K","-5.99%"
"06/27/2022","9.5010","9.4870","9.9190","9.3880","48.03K","0.15%"
"06/26/2022","9.4870","9.7260","10.1880","9.4600","70.02K","-2.46%"
"06/25/2022","9.7260","9.6350","9.9050","9.2520","61.53K","0.94%"
"06/24/2022","9.6350","9.3080","9.8020","9.2960","65.02K","3.52%"
"06/23/2022","9.3070","8.8840","9.3890","8.8550","62.61K","4.84%"
"06/22/2022","8.8770","9.2110","9.2800","8.7750","71.14K","-3.64%"
"06/21/2022","9.2120","9.1480","9.7110","9.0120","110.55K","0.70%"
"06/20/2022","9.1480","9.0810","9.4350","8.6910","111.67K","0.74%"
"06/19/2022","9.0810","8.5230","9.2000","8.1440","122.07K","6.52%"
"06/18/2022","8.5250","9.0630","9.2070","7.9410","128.29K","-5.94%"
"06/17/2022","9.0630","8.8450","9.3290","8.7760","96.86K","2.46%"
"06/16/2022","8.8450","10.0020","10.1890","8.6690","191.98K","-11.70%"
"06/15/2022","10.0170","9.7080","10.0170","8.4400","273.75K","2.97%"
"06/14/2022","9.7280","9.8540","9.9960","8.9690","173.08K","-1.07%"
"06/13/2022","9.8330","11.6040","12.2270","9.4010","391.21K","-15.31%"
"06/12/2022","11.6110","10.9400","13.3050","10.0550","435.26K","6.63%"
"06/11/2022","10.8890","11.4150","11.7080","10.5020","58.42K","-4.68%"
"06/10/2022","11.4240","12.0380","12.0470","10.9690","44.99K","-5.10%"
"06/09/2022","12.0380","12.0320","12.3920","11.7500","34.05K","0.20%"
"06/08/2022","12.0140","11.8530","12.8450","11.4670","115.15K","1.36%"
"06/07/2022","11.8530","12.1500","12.1630","11.2170","55.57K","-2.44%"
"06/06/2022","12.1500","11.4560","13.4100","11.4470","194.14K","6.07%"
"06/05/2022","11.4550","11.3040","11.9910","11.0630","78.24K","1.34%"
"06/04/2022","11.3040","11.1410","11.3410","10.9350","20.97K","1.46%"
"06/03/2022","11.1410","11.3940","11.7640","10.8960","40.76K","-2.22%"
"06/02/2022","11.3940","11.1490","11.5150","10.8700","34.57K","2.37%"
"06/01/2022","11.1300","11.5620","12.3660","10.8690","130.52K","-3.74%"
"05/31/2022","11.5620","11.7620","11.8830","11.2100","57.22K","-1.70%"
"05/30/2022","11.7620","10.6410","11.8230","10.5780","72.05K","10.53%"
"05/29/2022","10.6410","10.4820","10.6410","10.1440","41.75K","1.52%"
"05/28/2022","10.4820","10.2910","10.6520","10.1180","58.59K","1.86%"
"05/27/2022","10.2910","10.7250","11.3280","10.1940","91.08K","-3.83%"
"05/26/2022","10.7010","11.6590","12.2350","10.1580","194.41K","-8.21%"
"05/25/2022","11.6580","11.2760","12.0080","11.2590","162.90K","3.39%"
"05/24/2022","11.2760","11.3880","11.3980","10.4480","136.61K","-0.78%"
"05/23/2022","11.3650","10.8610","12.6310","10.8140","402.29K","4.64%"
"05/22/2022","10.8610","10.3650","10.9480","10.2300","68.18K","4.79%"
"05/21/2022","10.3650","10.1490","10.6150","9.9750","63.66K","2.13%"
"05/20/2022","10.1490","10.5110","10.7850","9.8780","89.12K","-3.46%"
"05/19/2022","10.5130","9.8920","10.6620","9.5600","124.75K","6.19%"
"05/18/2022","9.9000","10.9960","11.1780","9.8380","260.19K","-9.89%"
"05/17/2022","10.9870","10.2660","11.2050","10.2640","252.19K","7.27%"
"05/16/2022","10.2420","11.0100","11.0120","9.8890","253.81K","-6.98%"
"05/15/2022","11.0100","10.6690","11.0380","10.2320","232.73K","3.20%"
"05/14/2022","10.6690","10.2360","10.7670","9.6100","263.32K","4.37%"
"05/13/2022","10.2220","9.7910","11.2930","9.6550","430.91K","4.56%"
"05/12/2022","9.7760","10.5590","11.1070","8.4470","1.47M","-7.25%"
"05/11/2022","10.5400","13.8250","14.1040","9.9810","1.38M","-23.74%"
"05/10/2022","13.8210","13.2840","15.0090","12.9240","627.70K","3.89%"
"05/09/2022","13.3030","15.9230","16.3500","13.2180","545.65K","-16.41%"
"05/08/2022","15.9150","16.2980","16.4370","15.6970","261.52K","-2.30%"
"05/07/2022","16.2900","16.9270","17.0370","15.9280","187.93K","-3.76%"
"05/06/2022","16.9270","17.2070","17.2700","16.5120","270.11K","-1.55%"
"05/05/2022","17.1940","19.3460","19.5800","16.9030","440.67K","-11.12%"
"05/04/2022","19.3460","17.5880","19.5580","17.5260","323.61K","10.00%"
"05/03/2022","17.5880","17.5790","18.3490","17.1510","202.30K","0.05%"
