"Date","Price","Open","High","Low","Vol.","Change %"
"09/14/2022","1.4740","1.4670","1.5050","1.4180","22.84M","0.20%"
"09/13/2022","1.4710","1.6600","1.6960","1.4660","24.47M","-11.33%"
"09/12/2022","1.6590","1.7120","1.7710","1.6340","18.35M","-3.15%"
"09/11/2022","1.7130","1.7490","1.8290","1.6680","23.92M","-2.00%"
"09/10/2022","1.7480","1.6610","1.8630","1.6370","38.52M","5.17%"
"09/09/2022","1.6620","1.6030","1.7460","1.5740","25.07M","3.75%"
"09/08/2022","1.6020","1.6650","1.7220","1.5910","29.99M","-3.78%"
"09/07/2022","1.6650","1.3970","1.6900","1.3650","33.78M","19.35%"
"09/06/2022","1.3950","1.5680","1.5870","1.3800","19.62M","-11.09%"
"09/05/2022","1.5690","1.4930","1.5910","1.4220","14.39M","5.16%"
"09/04/2022","1.4920","1.5160","1.5460","1.4690","7.65M","-1.65%"
"09/03/2022","1.5170","1.5470","1.5960","1.5100","16.39M","-1.94%"
"09/02/2022","1.5470","1.4810","1.5840","1.4780","29.37M","4.60%"
"09/01/2022","1.4790","1.3730","1.4930","1.3450","22.40M","7.72%"
"08/31/2022","1.3730","1.3940","1.4450","1.3650","12.16M","-1.36%"
"08/30/2022","1.3920","1.4930","1.5170","1.3530","16.19M","-6.76%"
"08/29/2022","1.4930","1.4230","1.5020","1.4050","12.27M","4.70%"
"08/28/2022","1.4260","1.5400","1.5680","1.4190","16.10M","-7.28%"
"08/27/2022","1.5380","1.5460","1.5580","1.4760","21.03M","-0.71%"
"08/26/2022","1.5490","1.7300","1.7710","1.5250","37.33M","-10.51%"
"08/25/2022","1.7310","1.7710","1.7870","1.6600","29.60M","-2.37%"
"08/24/2022","1.7730","1.8050","1.8120","1.6810","34.68M","-1.83%"
"08/23/2022","1.8060","1.8360","1.8880","1.7110","61.74M","-1.79%"
"08/22/2022","1.8390","1.5700","1.9290","1.4730","82.51M","17.13%"
"08/21/2022","1.5700","1.4120","1.5840","1.3780","41.22M","11.27%"
"08/20/2022","1.4110","1.2730","1.4220","1.2700","26.29M","10.84%"
"08/19/2022","1.2730","1.4840","1.4880","1.2590","42.55M","-14.10%"
"08/18/2022","1.4820","1.4800","1.5580","1.4140","39.88M","0.14%"
"08/17/2022","1.4800","1.3850","1.6590","1.3740","92.74M","7.09%"
"08/16/2022","1.3820","1.2730","1.3820","1.2450","15.04M","8.56%"
"08/15/2022","1.2730","1.3070","1.3540","1.2520","10.33M","-2.53%"
"08/14/2022","1.3060","1.3490","1.3800","1.2920","8.51M","-3.26%"
"08/13/2022","1.3500","1.3290","1.4040","1.3210","9.32M","1.66%"
"08/12/2022","1.3280","1.3130","1.3300","1.2690","9.24M","1.14%"
"08/11/2022","1.3130","1.2760","1.3350","1.2760","13.81M","2.90%"
"08/10/2022","1.2760","1.1780","1.2910","1.1510","14.31M","8.32%"
"08/09/2022","1.1780","1.2510","1.2580","1.1590","12.27M","-5.84%"
"08/08/2022","1.2510","1.2290","1.2860","1.2280","9.83M","1.79%"
"08/07/2022","1.2290","1.2260","1.2520","1.2020","6.88M","0.33%"
"08/06/2022","1.2250","1.2590","1.2700","1.2230","6.80M","-2.62%"
