"Date","Price","Open","High","Low","Vol.","Change %"
"07/25/2022","6.769","7.406","7.445","6.740","7.81M","-8.53%"
"07/24/2022","7.400","7.333","7.580","7.310","5.13M","0.96%"
"07/23/2022","7.330","7.288","7.490","7.099","4.95M","0.55%"
"07/22/2022","7.290","7.534","7.850","7.263","7.65M","-3.08%"
"07/21/2022","7.521","7.462","7.590","7.190","6.98M","0.82%"
"07/20/2022","7.460","7.795","8.076","7.389","13.02M","-4.24%"
"07/19/2022","7.790","7.665","8.010","7.503","15.35M","1.57%"
"07/18/2022","7.670","6.913","7.714","6.910","924.11K","11.00%"
"07/17/2022","6.910","7.178","7.320","6.889","5.46M","-4.01%"
"07/16/2022","7.199","6.799","7.219","6.560","6.90M","6.01%"
"07/15/2022","6.790","6.716","6.985","6.660","6.60M","0.92%"
"07/14/2022","6.729","6.470","6.768","6.290","6.29M","4.00%"
"07/13/2022","6.470","6.272","6.530","6.047","7.76M","3.15%"
"07/12/2022","6.272","6.523","6.618","6.259","769.05K","-3.94%"
"07/11/2022","6.529","6.850","6.900","6.510","5.43M","-4.81%"
"07/10/2022","6.859","7.250","7.260","6.770","4.83M","-5.39%"
"07/09/2022","7.250","7.028","7.351","7.028","3.78M","2.85%"
"07/08/2022","7.049","7.301","7.450","6.929","7.09M","-3.44%"
"07/07/2022","7.301","6.924","7.350","6.884","6.48M","5.45%"
"07/06/2022","6.924","6.844","6.990","6.691","378.79K","1.22%"
"07/05/2022","6.840","7.160","7.210","6.610","8.63M","-4.59%"
"07/04/2022","7.169","6.859","7.200","6.670","5.18M","4.80%"
"07/03/2022","6.841","6.817","6.980","6.602","212.95K","0.18%"
"07/02/2022","6.829","6.706","6.909","6.621","3.38M","1.35%"
"07/01/2022","6.738","7.059","7.241","6.547","8.00M","-4.55%"
"06/30/2022","7.059","7.033","7.091","6.639","357.48K","0.41%"
"06/29/2022","7.030","7.305","7.426","6.969","7.50M","-3.82%"
"06/28/2022","7.310","7.729","8.000","7.269","6.53M","-5.43%"
"06/27/2022","7.729","7.835","8.200","7.718","5.02M","-1.29%"
"06/26/2022","7.830","8.117","8.480","7.819","5.15M","-3.78%"
"06/25/2022","8.138","8.180","8.349","7.791","4.23M","-0.63%"
"06/24/2022","8.189","7.791","8.338","7.726","6.04M","5.25%"
"06/23/2022","7.781","7.380","7.819","7.362","5.22M","5.30%"
"06/22/2022","7.389","7.751","7.810","7.350","5.81M","-4.66%"
"06/21/2022","7.750","7.879","8.269","7.690","6.99M","-1.64%"
"06/20/2022","7.879","7.517","8.020","7.180","8.58M","4.65%"
"06/19/2022","7.529","7.040","7.639","6.770","8.08M","6.94%"
"06/18/2022","7.040","7.267","7.395","6.478","11.44M","-3.11%"
"06/17/2022","7.267","7.114","7.445","7.029","864.76K","2.15%"
"06/16/2022","7.114","8.490","8.535","6.966","1.11M","-16.39%"
"06/15/2022","8.508","7.355","8.728","6.834","20.59M","15.46%"
"06/14/2022","7.369","7.034","7.542","6.683","15.30M","4.68%"
"06/13/2022","7.039","7.387","7.460","6.388","20.55M","-4.70%"
"06/12/2022","7.387","8.000","8.099","7.385","707.47K","-7.99%"
"06/11/2022","8.028","8.645","8.837","7.940","7.25M","-7.27%"
"06/10/2022","8.657","9.226","9.370","8.582","52.14M","-6.30%"
"06/09/2022","9.239","9.000","9.447","8.910","5.25M","2.66%"
"06/08/2022","9.000","9.229","9.380","8.900","4.07M","-2.40%"
"06/07/2022","9.221","9.494","9.510","8.840","5.79M","-2.93%"
"06/06/2022","9.500","9.347","9.930","9.320","5.44M","1.63%"
"06/05/2022","9.347","9.420","9.549","9.259","2.87M","-0.98%"
"06/04/2022","9.440","9.370","9.559","9.137","19.84M","0.74%"
"06/03/2022","9.370","9.874","9.920","9.219","5.63M","-5.16%"
"06/02/2022","9.880","9.446","10.050","9.298","6.23M","4.45%"
"06/01/2022","9.459","10.350","10.730","9.260","11.28M","-8.62%"
"05/31/2022","10.350","10.475","10.628","9.970","9.47M","-1.15%"
"05/30/2022","10.470","9.980","10.765","9.910","9.37M","4.91%"
"05/29/2022","9.980","9.651","10.021","9.340","6.25M","3.42%"
"05/28/2022","9.650","9.103","9.780","8.950","6.41M","5.94%"
"05/27/2022","9.109","9.191","10.472","8.560","18.41M","-0.36%"
"05/26/2022","9.142","9.852","10.000","8.838","28.40M","-7.37%"
"05/25/2022","9.870","10.175","10.321","9.771","13.82M","-3.14%"
"05/24/2022","10.190","9.878","10.270","9.554","14.35M","3.15%"
"05/23/2022","9.878","10.170","10.729","9.809","10.50M","-2.87%"
"05/22/2022","10.170","9.979","10.330","9.870","4.90M","1.92%"
"05/21/2022","9.979","9.651","10.074","9.459","235.63K","3.20%"
"05/20/2022","9.669","10.031","10.240","9.440","8.75M","-3.60%"
"05/19/2022","10.030","9.461","10.385","9.220","11.01M","5.81%"
"05/18/2022","9.480","11.040","11.160","9.458","11.38M","-14.13%"
"05/17/2022","11.040","10.629","11.310","10.423","9.40M","3.96%"
"05/16/2022","10.619","11.808","11.808","10.360","10.82M","-9.86%"
"05/15/2022","11.782","11.277","11.836","10.610","675.32K","4.60%"
"05/14/2022","11.263","10.439","11.529","9.750","940.95K","7.69%"
"05/13/2022","10.459","8.680","11.750","8.560","27.74M","20.11%"
"05/12/2022","8.707","9.044","9.482","7.312","28.15M","-3.55%"
"05/11/2022","9.028","11.347","11.650","8.195","35.36M","-20.31%"
"05/10/2022","11.330","10.630","12.438","10.290","20.50M","6.87%"
"05/09/2022","10.601","13.241","13.470","10.600","20.64M","-19.99%"
"05/08/2022","13.250","13.750","13.858","13.043","7.32M","-3.64%"
"05/07/2022","13.750","14.310","14.370","13.440","4.54M","-3.92%"
"05/06/2022","14.310","14.580","14.648","13.817","7.31M","-1.85%"
"05/05/2022","14.580","16.314","16.430","14.225","633.72K","-10.59%"
"05/04/2022","16.307","14.724","16.330","14.670","25.33M","10.78%"
"05/03/2022","14.720","14.981","15.217","14.526","3.56M","-1.67%"
"05/02/2022","14.971","15.369","15.590","14.573","5.68M","-2.59%"
"05/01/2022","15.369","14.511","15.519","14.502","5.42M","5.99%"
"04/30/2022","14.501","16.177","16.430","14.219","6.40M","-10.43%"
"04/29/2022","16.190","16.989","17.070","16.001","8.33M","-4.71%"
"04/28/2022","16.990","16.950","17.405","16.760","4.50M","0.24%"
"04/27/2022","16.950","16.680","17.269","16.505","3.97M","1.65%"
"04/26/2022","16.674","18.134","18.310","16.427","274.17K","-7.94%"
"04/25/2022","18.112","18.163","18.248","17.130","5.84M","-0.28%"
"04/24/2022","18.163","18.679","19.142","18.080","42.81M","-2.67%"
"04/23/2022","18.661","18.289","19.259","18.010","3.90M","2.08%"
"04/22/2022","18.280","18.178","18.530","18.070","3.80M","0.60%"
"04/21/2022","18.171","19.089","19.661","18.061","5.03M","-4.82%"
"04/20/2022","19.090","18.890","19.501","18.559","6.17M","1.06%"
"04/19/2022","18.890","18.162","18.950","18.047","3.62M","4.04%"
"04/18/2022","18.155","17.744","18.330","17.108","135.68M","2.21%"
"04/17/2022","17.762","18.622","18.810","17.689","3.13M","-4.51%"
"04/16/2022","18.601","18.352","18.699","18.192","2.45M","1.37%"
"04/15/2022","18.350","17.926","18.409","17.800","2.76M","2.40%"
"04/14/2022","17.920","18.189","18.470","17.480","7.37M","-1.48%"
"04/13/2022","18.190","17.762","18.280","17.381","7.67M","2.42%"
"04/12/2022","17.760","17.195","18.017","17.176","5.42M","3.26%"
"04/11/2022","17.200","19.213","19.287","17.006","8.41M","-10.55%"
"04/10/2022","19.229","19.776","20.240","19.172","4.05M","-2.60%"
"04/09/2022","19.742","19.418","19.829","19.290","2.49M","1.66%"
"04/08/2022","19.420","20.414","20.562","19.189","4.89M","-4.85%"
"04/07/2022","20.410","19.848","20.640","19.500","5.50M","2.78%"
"04/06/2022","19.859","21.778","21.815","19.732","9.11M","-8.81%"
"04/05/2022","21.778","22.865","23.101","21.715","377.12K","-4.75%"
"04/04/2022","22.865","23.205","23.220","21.633","526.73K","-1.40%"
"04/03/2022","23.191","22.610","23.570","22.550","7.80M","2.73%"
"04/02/2022","22.575","22.031","23.850","22.003","499.05K","2.29%"
"04/01/2022","22.069","21.332","22.149","20.640","16.39M","3.51%"
"03/31/2022","21.321","22.406","23.049","21.101","9.15M","-4.94%"
"03/30/2022","22.429","22.450","23.000","21.720","8.26M","-0.09%"
"03/29/2022","22.450","21.974","22.950","21.877","8.10M","2.10%"
"03/28/2022","21.989","22.476","23.320","21.840","9.72M","-2.17%"
"03/27/2022","22.476","20.904","22.485","20.731","287.35K","7.48%"
"03/26/2022","20.912","20.520","21.030","20.260","37.98M","1.81%"
"03/25/2022","20.539","21.250","21.360","20.200","6.09M","-3.34%"
"03/24/2022","21.250","21.010","21.470","20.300","7.62M","1.10%"
"03/23/2022","21.019","20.209","21.100","19.804","8.76M","4.01%"
"03/22/2022","20.209","18.761","20.468","18.686","471.59K","7.72%"
"03/21/2022","18.761","18.640","19.069","18.430","4.40M","0.70%"
"03/20/2022","18.631","19.411","19.460","18.347","3.88M","-3.97%"
"03/19/2022","19.401","18.979","19.770","18.890","5.20M","2.38%"
